uniqueid,Start time,Completion time,My sleep is affected by my study commitments,I achieve good quality sleep,My electronic device usage negatively affects my sleep,Tiredness interferes with my concentration,"My sleep is disturbed by external factors e.g. loud cars, housemates, lights, children...",I often achieve eight hours of sleep,I regularly stay up past 11pm
c00b02da26,2020-11-26T14:09:22Z,2020-11-26T14:10:09Z,Strongly agree,Disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Agree
6d2d3b0a1a,2020-11-27T11:13:09Z,2020-11-27T11:14:44Z,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
aac1327383,2020-11-27T14:10:58Z,2020-11-27T14:13:40Z,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree
da9eff6594,2020-11-27T09:13:24Z,2020-11-27T09:14:15Z,Strongly agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree
c51ca10f04,2020-11-26T09:12:52Z,2020-11-26T09:13:32Z,Strongly agree,Somewhat disagree,Agree,Agree,Strongly agree,Agree,Agree
346259afdc,2020-11-27T11:16:52Z,2020-11-27T11:18:26Z,Agree,Disagree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Strongly agree
8455e99d5e,2020-11-27T11:14:40Z,2020-11-27T11:16:06Z,Somewhat agree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat agree,Strongly agree
8ed53e632f,2020-11-26T09:18:04Z,2020-11-26T09:19:53Z,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree
660998aef1,2020-11-27T09:25:07Z,2020-11-27T09:28:30Z,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree
19652d1ba0,2020-11-26T10:20:30Z,2020-11-26T10:23:35Z,Neither agree nor disagree,Disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree
